"review_id","user_id","business_id","stars","useful","funny","cool","text","date","user_name","user_review_count","user_yelping_since","user_average_stars","user_male","word_count","male"
"WZ6mS1JNzHkGW5CvOAz9OQ","CkrlmJdNgk-qx0Xrqw1CAQ","YWSsD10TzzqE1htRG9fQKw",4,0,0,0,"I'm so sad how many people really don't like this place.  During the summers, our family goes here for brunch often on Sunday afternoons.  They make the best french toast I've had anywhere!

The place is family owned and run, and possibly overwhelmed with so much family to care for while running a restaurant, it's rather obvious I agree.  On Sunday afternoons their teenage daughter is often the waitress, she's sweet and shy, the atmosphere is pretty authentic and unique for a Cambridge restaurant.

Eating here is like eating at a friend's house, it's not for everyone, I have personally witnessed the service issues, and I can't disagree it could be better, it also depends on the day.  However, I'm also not usually in a rush when I come, it's a family meal, we come to relax and enjoy ourselves over a good meal.  

The food I've had here makes up for the service and has always been good.  It's probably also the cheapest eat in town, for a table of three we often only spend $10 before tipping (we tip well, it's a family owned business).

Summers are best here, we can enjoy the seating outside, enjoy the breeze on a sunny day, people watch, and be served outside.  I am all for supporting a local family owned and run business.","2011-03-20 20:36:49","Tiffanie",63,"2011-03-20 20:26:19",3.86,0,234,0
"FnKWiUl0xdzUf-fle8-nNw","czMZcN-N6po8Ai-RXHVmtg","YWSsD10TzzqE1htRG9fQKw",1,0,0,1,"I ate here several times a few years ago because it was convenient. But the grime, the lackluster and possibly grimy food, and the sullen staff just turned me off. I went back again this week because my husband insisted on trying it. Our tap water came in styrofoam cups... mine was stained with dirt. The service was still sad and the space was still grimy. The falafel was fine but not made with love, and I'm actually just hoping it doesn't make me ill. I don't trust that place.","2008-08-18 19:15:12","Rekha",44,"2007-06-01 01:04:46",3.76,0,93,0
"Inbc-FPBw5POtW-JKPv7Ng","2m9C5FAnf7TqPnsa6mBXOA","CoZmZKv2lCYd-UoAsAUobA",2,2,0,0,"basically: don't bother, try someplace else
Went with four people and order the veg/meat combo that sells per person. The food was not that tasty, injera lacking flavor, and the price is exorbitant for the quality/quantity of food. I've had way better in Philly, tucsonArizona and other places in Boston. 
Won't come here again unless someone else is paying and I'm having a craving for bland ethiopian","2013-05-07 02:02:42","Laura",61,"2011-04-22 22:10:27",3.24,0.003,73,0
"D7ieZWJoXLq9cdCZljq0MQ","XaCTuS3TPl-hPgj194i9EQ","5kegZHJdcscpSfc5AB_Ccw",4,2,2,2,"I've lived within spitting distance of this place for ~3 years and just ventured in here for the first time about a month ago. What the hell was I waiting for?  This place has some delicious food. I've eaten here 4 times in the last month and have enjoyed everything I have tried. The Tom Yum soup is some of the best I've had, so spicy and delicious, and they don't skimp on the shrimp like they do in some places. Fresh rolls and veggie rolls both quite tasty, but my favorite app thus far is the stuffed wings. Who knew you could stuff a chicken wing with even more chicken and some shrimp and make something so delicious? Maybe it's my fascination with meat stuffed with meat that explains part of my love for this dish. I usually like my Thai noodley, and the noodley dishes I've had have been good: Pad Thai, Pad See Ew, and Rad-Na. Not quite as good as Similans, which is why they only get 4 stars. I also noticed on their menu that they charge extra for rice. I hate that...just charge me $1 more for my meal, give me the rice, and make me feel like I'm getting it for free. You know I want it, everyone wants rice, just don't make me feel like I'm getting ripped off for ordering it.

As for service, I've only had take out, but the staff has been quite awesome. Each time I've gone in, the place has been quite busy, but they still manage extreme politeness on the phone and in person. I look forward to actually eating in one day.

This place is really close to the Porter Square T stop, so I would recommend taking the subway instead of trying to park in the neighborhood.","2007-05-24 01:05:01","Kathleen",122,"2007-04-09 00:18:13",3.8,0.0023,312,0
"nhO9US5O4tqiAHVi0-RKPA","6x4x20vRckjhaQMz3MeFYA","2AORsy2N2kbFX91EXm10Qg",4,0,0,0,"Great service and wonderful Italian food.  My wife and I stop here for the bolognese and it never disappoints us.","2012-02-02 15:34:14","Brendan",16,"2010-01-14 19:29:04",4.18,0.996,20,1
"GZqxti7Tu-eIVl4s73f-BQ","_szzdopIEIeGolD04GdWOg","Yf1es-trm_zKungOxOkz-A",4,0,0,1,"I wouldn't say the food was amazing, but it wasn't terrible. I have been a few times now and ultimately have enjoyed the experience. The music is always good and I have always gotten Robert as my waiter and he is awesome. He remembers me and my friends, what I've liked and dislike, and goes out of his way to do anything he can to make our experience better.","2015-06-21 18:57:00","Keri",7,"2011-11-18 19:51:22",4.86,0.0095,72,0
"fINOezCVZfVb_uKRxXYW_g","AwC1VhKQ3WBoScoVmbXlWw","sPd-zQtPSARMw1vx131v1w",4,0,0,0,"Suan la Chow Show is what we came for. And it will always be one of our favorite dishes. We have tried (as have others), to reverse engineer the recipe. We can get close, but Mary is holding the recipe close!!! Delicious!!!","2016-10-26 21:16:13","John",16,"2016-09-29 14:26:19",3.35,0.9961,42,1
"mom6ZbAeehMGg5Ot-uYslA","n7TFMYTzMMnPc8q__YiT4g","Yf1es-trm_zKungOxOkz-A",5,0,0,0,"Noticed this awesome little joint on my bike commute to work. I planned a get together with some friends for a special occasion and our experience blew us out of the water. The people we so friendly, customer service was amazing, the food was incredible and the drink selection was top notch and perfect for a large group of people with differing tastes! I highly recommend their burgers! They were delicious! To top the evening off, they even brought us desserts on the house! I will definitely be making this a regular choice for dinner and drinks! Thank you Hops-n-scotch for making our evening so memorable!","2015-09-24 16:31:55","Teri",23,"2014-12-15 22:01:30",4.13,0.0046,108,0
"0uGy97GmMxtWvfR7zqzrxA","gQblq5264zcx5YtGAWDdKA","XDv29FffNd2dWnDOtZP-wg",4,0,0,0,"Spicy miso ramen is yummy. Not so spicy, either (at least by my taste). This place has a nice vibe too... people just chilled and enjoying a good meal without any pretense.","2013-06-24 19:35:02","Evie",55,"2010-01-02 19:58:36",2.75,0.0027,32,0
"sIvIvFM1470qhSlZ6E7grg","d0FnPBPsGcmzpIzDb962DA","5kegZHJdcscpSfc5AB_Ccw",5,0,0,0,"I was reluctant to move away from Cambridge in part because of this restaurant! And in all fairness, Hingham (capital of multiculturalism and diversity as we know it) is not exactly teeming with ethnic food options. You cannot imagine my joy when by a quirk of fate I am now working back in my old Porter Square hood and can go to this restaurant without having to travel by spaceship over light year distances. 

Not that this restaurant isn't worth the drive. It is consistently great, the staff is consistently friendly, and the Thai Iced Tea is fantastic. They've got really nice healthy options on the menu including steamed veggies with brown rice and peanut sauce on the side. Their pot stickers are a dream. But what I always order here is the pad thai. For some reason, there's something about the way they make it that always induces me to eat the whole thing (against my better judgment). Just once, I'd like to order something other than the pad thai, but it's so good that the memory of other meals sucks me in and I always order the same thing. Friends have been very satisfied with their curries, though, so those seem to be winners as well. Also, it seems that they've recently taken to providing a free soup of the day with meal orders which is a really nice touch. The other day it was a chicken hot and sour soup that was absolutely delicious. 

You rarely have to wait here- it's big enough for families and they have a large amount of seating. Don't take the lack of wait as indicative of the food- during the day it tends to be quiet in Porter (with the exception of Boca Grande which is generally a zoo). They're big enough to accomodate and actually have enough wait staff to turn the tables over (I know, shock, right?) So go to Tamarind. You really won't regret it. I feel like this place is Spice Thai's sad sister that just wants some attention- everyone gives Spice such props, but honestly, I still think this place is better. At least for Pad Thai.","2007-12-13 12:23:09","Vivian",70,"2007-02-08 22:13:51",3.78,0.0083,372,0
